,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,group,poscar_name,vacancy_poscar_name,E_vac_min,minimum
182,196,alkali_metal_oxides,Rb2O,Fm-3m,,,18.0,-74.06387706,,,,,,s5_0,50.0%,-1322.84240311,0.9381999999999996,0.0031695866666665,1.3192,,-1333.14978708,4.376903899999819,0.9381999999999996,rattle,Rb2O_Fm-3m_s5_0,alkali_metal_oxides_Rb2O_Fm-3m,alkali_metal_oxides_Rb2O_Fm-3m_s5_0_50.0%,-1322.84240311,True
204,218,alkali_metal_oxides,Rb2O,Fm-3m,,,18.0,-74.06387706,,,,,,s4_0,0.0%,-1322.8409609,0.9367,0.0031695866666665,1.3192,,-1333.14978708,4.378346109999869,0.9367,rattle,Rb2O_Fm-3m_s4_0,alkali_metal_oxides_Rb2O_Fm-3m,alkali_metal_oxides_Rb2O_Fm-3m_s4_0_0.0%,-1322.8409609,True
215,230,alkali_metal_oxides,K2O,Fm-3m,,,18.0,-43.07782753,,,,,,s5_0,-40.0%,-764.66759839,1.0683,0.0,1.7072,,-775.40089554,4.802817079999999,1.0683,rattle,K2O_Fm-3m_s5_0,alkali_metal_oxides_K2O_Fm-3m,alkali_metal_oxides_K2O_Fm-3m_s5_0_-40.0%,-764.66759839,True
226,241,alkali_metal_oxides,K2O,Fm-3m,,,18.0,-43.07782753,,,,,,s4_0,-50.0%,-764.66467638,1.068,0.0,1.7072,,-775.40089554,4.805739090000019,1.068,rattle,K2O_Fm-3m_s4_0,alkali_metal_oxides_K2O_Fm-3m,alkali_metal_oxides_K2O_Fm-3m_s4_0_-50.0%,-764.66467638,True
235,251,alkali_metal_oxides,Cs2O,R-3m,,,32.0,-59.49863268,,,,,,s16_0,60.0%,-1894.52463189,0.7563,0.0,0.5831999999999997,,-1903.95624576,3.5011338000000922,0.7563,rattle,Cs2O_R-3m_s16_0,alkali_metal_oxides_Cs2O_R-3m,alkali_metal_oxides_Cs2O_R-3m_s16_0_60.0%,-1894.52463189,True
252,269,alkali_metal_oxides,Na2O,Fm-3m,,,64.0,-17.26364116,,,,,,s16_0,-50.0%,-1093.62011122,1.0472,0.0,1.8736,,-1104.87303424,5.322442950000026,1.0472,rattle,Na2O_Fm-3m_s16_0,alkali_metal_oxides_Na2O_Fm-3m,alkali_metal_oxides_Na2O_Fm-3m_s16_0_-50.0%,-1093.62011122,True
266,283,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s32_0,30.0%,-2299.99037107,1.3935999999999993,,,,,,,-2309.73013764,,3.809286500000029,1.3935999999999993,higher_symmetry,In2O3_Pbca_s32_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,group_13_metal_oxides_In2O3_Pbca_s32_0_30.0%,-2299.99037107,True
277,294,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s24_0,-20.0%,-2300.22441982,1.4847,,,,,,,-2309.73013764,,3.575237749999973,1.4847,higher_symmetry,In2O3_Pbca_s24_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,group_13_metal_oxides_In2O3_Pbca_s24_0_-20.0%,-2300.22441982,True
292,309,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s16_0,30.0%,-2300.00434563,1.4097,,,,,,,-2309.73013764,,3.7953119400000777,1.4097,higher_symmetry,In2O3_Pbca_s16_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,group_13_metal_oxides_In2O3_Pbca_s16_0_30.0%,-2300.00434563,True
308,326,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s8_0,0.0%,-2821.74417906,1.3555,,,,,,,-2829.68535612,,2.010696989999973,1.3555,higher_symmetry,Tl4O3_P2_1__m_s8_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,group_13_metal_oxides_Tl4O3_P2_1__m_s8_0_0.0%,-2821.74417906,True
315,333,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s12_0,-30.0%,-2821.78727621,1.2695000000000007,,,,,,,-2829.68535612,,1.9675998399999788,1.2695000000000007,higher_symmetry,Tl4O3_P2_1__m_s12_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,group_13_metal_oxides_Tl4O3_P2_1__m_s12_0_-30.0%,-2821.78727621,True
335,353,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s10_0,-60.0%,-2821.81364136,1.4402,,,,,,,-2829.68535612,,1.941234690000032,1.4402,higher_symmetry,Tl4O3_P2_1__m_s10_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,group_13_metal_oxides_Tl4O3_P2_1__m_s10_0_-60.0%,-2821.81364136,True
346,367,group_13_metal_oxides,In2O3,Ia-3,-578.67896193,4.0,,,,s16_0,40.0%,-2305.42613765,1.3743999999999996,,,,,,,-2314.71584772,,3.359230000000183,1.3743999999999996,higher_symmetry,In2O3_Ia-3_s16_0,group_13_metal_oxides_In2O3_Ia-3_higher_symmetry,group_13_metal_oxides_In2O3_Ia-3_s16_0_40.0%,-2305.42613765,True
355,378,group_13_metal_oxides,Tl2O,R-3m,,,16.0,-228.7277975,,,,,,s5_0,-20.0%,-3649.82498972,0.5219999999999994,0.0,0.5717000000000003,,-3659.64476,3.8892902100002846,0.5219999999999994,rattle,Tl2O_R-3m_s5_0,group_13_metal_oxides_Tl2O_R-3m,group_13_metal_oxides_Tl2O_R-3m_s5_0_-20.0%,-3649.82498972,True
369,392,group_13_metal_oxides,Tl2O,R-3m,,,16.0,-228.7277975,,,,,,s4_0,-50.0%,-3649.82390521,0.5200000000000005,0.0,0.5717000000000003,,-3659.64476,3.89037472000034,0.5200000000000005,rattle,Tl2O_R-3m_s4_0,group_13_metal_oxides_Tl2O_R-3m,group_13_metal_oxides_Tl2O_R-3m_s4_0_-50.0%,-3649.82390521,True
377,400,group_13_metal_oxides,Tl2O3,Ia-3,-1025.9401739,4.0,,,,s16_0,50.0%,-4098.52587551,1.2872,,,,,,,-4103.7606956,,-0.6956599800003698,1.2872,higher_symmetry,Tl2O3_Ia-3_s16_0,group_13_metal_oxides_Tl2O3_Ia-3_higher_symmetry,group_13_metal_oxides_Tl2O3_Ia-3_s16_0_50.0%,-4098.52587551,True
402,427,group_13_metal_oxides,Al2O3,R-3c,,,18.0,-96.26938966,,,,,,s4_0,10.0%,-1719.27885237,4.7003,0.0,5.853700000000001,,-1732.84901388,7.639681439999935,4.7003,rattle,Al2O3_R-3c_s4_0,group_13_metal_oxides_Al2O3_R-3c,group_13_metal_oxides_Al2O3_R-3c_s4_0_10.0%,-1719.27885237,True
412,437,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s18_0,-60.0%,-753.90603054,3.9857,,,,,,,-768.03725776,,8.200747150000028,3.9857,higher_symmetry,Al2O3_Pna2_1_s18_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,group_13_metal_oxides_Al2O3_Pna2_1_s18_0_-60.0%,-753.90603054,True
423,448,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s19_0,40.0%,-754.41286121,5.05,,,,,,,-768.03725776,,7.693916480000029,5.05,higher_symmetry,Al2O3_Pna2_1_s19_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,group_13_metal_oxides_Al2O3_Pna2_1_s19_0_40.0%,-754.41286121,True
436,461,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s16_0,40.0%,-754.06940511,4.640199999999999,,,,,,,-768.03725776,,8.037372579999941,4.640199999999999,higher_symmetry,Al2O3_Pna2_1_s16_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,group_13_metal_oxides_Al2O3_Pna2_1_s16_0_40.0%,-754.06940511,True
442,467,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s21_0,60.0%,-753.90539297,4.290400000000001,,,,,,,-768.03725776,,8.201384720000009,4.290400000000001,higher_symmetry,Al2O3_Pna2_1_s21_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,group_13_metal_oxides_Al2O3_Pna2_1_s21_0_60.0%,-753.90539297,True
459,484,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s17_0,-50.0%,-753.996535,4.722100000000001,,,,,,,-768.03725776,,8.110242689999994,4.722100000000001,higher_symmetry,Al2O3_Pna2_1_s17_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,group_13_metal_oxides_Al2O3_Pna2_1_s17_0_-50.0%,-753.996535,True
