,formula,Ev,mp_Eg,mp_ehull,Eg,bulk_type,vacancy,space_group,Eb,Vr_max
0,SrO,6.969539059999919,3.2748,0.0,1.1262,rattle,SrO_Fm-3m_s1_0,Fm-3m,10.455647588229251,-3.067823794114626
0,MgO,7.619356380000157,4.4292,0.0,3.0813999999999995,rattle,MgO_Fm-3m_s1_0,Fm-3m,10.345144576146483,-3.116950431898758
0,CaO,6.13240352000007,2.0869,0.2097698550000002,0.8940999999999999,rattle,CaO_Cmce_s6_0,Cmce,9.183562294153647,-3.2905001259273035
0,CaO,6.125795490000131,2.0869,0.2097698550000002,0.6704000000000001,rattle,CaO_Cmce_s4_0,Cmce,9.183562294153647,-3.2905001259273035
0,BaO,-4.574522270000058,2.7678000000000003,0.1316646424999996,0.4505999999999996,rattle,BaO_P4__nmm_s2_0,P4__nmm,6.78710410259961,-2.8403280769497066
0,BeO,8.257094779999692,8.1681,0.4814747275000002,5.200200000000001,rattle,BeO_Fm-3m_s1_0,Fm-3m,12.235985878829233,-3.156179192239042
0,BeO,8.339665619999936,7.463900000000001,0.0,5.8189,rattle,BeO_P6_3mc_s2_0,P6_3mc,12.235985878829233,-3.156179192239042
0,BaO,5.933619260000045,2.3602000000000003,0.0257656074999994,0.4712999999999994,rattle,BaO_P6_3__mmc_s2_0,P6_3__mmc,10.180656153899415,-2.8403280769497066
0,BeO,8.490099000000031,7.0846,0.0117376287499997,5.6691,rattle,BeO_P4_2__mnm_s4_0,P4_2__mnm,12.235985878829233,-3.156179192239042
0,CaO,7.48445859999997,3.630100000000001,0.0,1.0502000000000002,rattle,CaO_Fm-3m_s1_0,Fm-3m,11.020274752984378,-3.2905001259273035
0,MgO,7.524857749999841,3.0483,0.3374968550000004,3.1107999999999993,rattle,MgO_P-6m2_s1_0,P-6m2,10.345144576146483,-3.116950431898758
0,MgO,6.687211730000103,3.3701,0.0741400825000004,2.1742999999999997,rattle,MgO_P6_3mc_s2_0,P6_3mc,6.896763050764322,-3.116950431898758
0,Li2O,7.392194519999906,4.854,0.0,2.7459,rattle,Li2O_Fm-3m_s2_0,Fm-3m,12.056796778720049,-3.1005489752967774
0,Rb2O,4.376903899999819,1.3192,0.0031695866666665,0.9381999999999996,rattle,Rb2O_Fm-3m_s5_0,Fm-3m,7.81645095886975,-1.7562254794348755
0,Rb2O,4.378346109999869,1.3192,0.0031695866666665,0.9367,rattle,Rb2O_Fm-3m_s4_0,Fm-3m,7.81645095886975,-1.7562254794348755
0,K2O,4.802817079999999,1.7072,0.0,1.0683,rattle,K2O_Fm-3m_s5_0,Fm-3m,8.232302709535245,-1.8820736227458112
0,K2O,4.805739090000019,1.7072,0.0,1.068,rattle,K2O_Fm-3m_s4_0,Fm-3m,8.232302709535245,-1.8820736227458112
0,In2O3,3.809286500000029,,,1.3935999999999993,higher_symmetry,In2O3_Pbca_s32_0,Pbca,7.4787590664084815,-1.5993795332042406
0,In2O3,3.575237749999973,,,1.4847,higher_symmetry,In2O3_Pbca_s24_0,Pbca,7.4787590664084815,-1.5993795332042406
0,In2O3,3.7953119400000777,,,1.4097,higher_symmetry,In2O3_Pbca_s16_0,Pbca,7.4787590664084815,-1.5993795332042406
0,Tl4O3,2.010696989999973,,,1.3555,higher_symmetry,Tl4O3_P2_1__m_s8_0,P2_1__m,,
0,Tl4O3,1.9675998399999788,,,1.2695000000000007,higher_symmetry,Tl4O3_P2_1__m_s12_0,P2_1__m,,
0,Tl4O3,1.941234690000032,,,1.4402,higher_symmetry,Tl4O3_P2_1__m_s10_0,P2_1__m,,
0,In2O3,3.359230000000183,,,1.3743999999999996,higher_symmetry,In2O3_Ia-3_s16_0,Ia-3,7.4787590664084815,-1.5993795332042406
0,Tl2O,3.8892902100002846,0.5717000000000003,0.0,0.5219999999999994,rattle,Tl2O_R-3m_s5_0,R-3m,8.094978726806717,-0.8674893634033586
0,Tl2O,3.89037472000034,0.5717000000000003,0.0,0.5200000000000005,rattle,Tl2O_R-3m_s4_0,R-3m,8.094978726806717,-0.8674893634033586
0,Tl2O3,-0.6956599800003698,,,1.2872,higher_symmetry,Tl2O3_Ia-3_s16_0,Ia-3,5.202070280655799,-0.5778080287901701
0,Al2O3,7.639681439999935,5.853700000000001,0.0,4.7003,rattle,Al2O3_R-3c_s4_0,R-3c,10.649135508781395,-2.8945619964631555
0,Al2O3,8.200747150000028,,,3.9857,higher_symmetry,Al2O3_Pna2_1_s18_0,Pna2_1,13.311419385976745,-2.8945619964631555
0,Al2O3,7.693916480000029,,,5.05,higher_symmetry,Al2O3_Pna2_1_s19_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,8.037372579999941,,,4.640199999999999,higher_symmetry,Al2O3_Pna2_1_s16_0,Pna2_1,10.649135508781395,-2.8945619964631555
0,Al2O3,8.201384720000009,,,4.290400000000001,higher_symmetry,Al2O3_Pna2_1_s21_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,8.110242689999994,,,4.722100000000001,higher_symmetry,Al2O3_Pna2_1_s17_0,Pna2_1,10.649135508781395,-2.8945619964631555
0,Al2O3,8.184757860000035,,,4.436299999999999,higher_symmetry,Al2O3_Pna2_1_s28_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,1.1587098099999356,4.8274,0.0168870407500003,2.2078999999999995,rattle,Al2O3_Pna2_1_s25_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-0.6916904000000397,4.8274,0.0168870407500003,1.0123000000000006,rattle,Al2O3_Pna2_1_s32_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-0.5526031700000669,4.8274,0.0168870407500003,0.8871000000000002,rattle,Al2O3_Pna2_1_s24_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-1.6451504400000214,4.8274,0.0168870407500003,2.2596000000000007,rattle,Al2O3_Pna2_1_s18_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-0.3878672500000686,4.8274,0.0168870407500003,2.0012000000000008,rattle,Al2O3_Pna2_1_s30_0,Pna2_1,5.3245677543906975,-2.8945619964631555
0,Al2O3,-0.9852863299999637,4.8274,0.0168870407500003,1.5055000000000005,rattle,Al2O3_Pna2_1_s31_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-1.9363549699999805,4.8274,0.0168870407500003,2.5185000000000004,rattle,Al2O3_Pna2_1_s19_0,Pna2_1,10.649135508781395,-2.8945619964631555
0,Al2O3,-7.459788690000051,4.8274,0.0168870407500003,2.8062000000000005,rattle,Al2O3_Pna2_1_s36_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-7.864972450000051,4.8274,0.0168870407500003,2.0568,rattle,Al2O3_Pna2_1_s33_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-6.217027500000041,4.8274,0.0168870407500003,2.5853,rattle,Al2O3_Pna2_1_s35_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,1.9911618199999328,4.8274,0.0168870407500003,2.5217,rattle,Al2O3_Pna2_1_s16_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-4.253932280000027,4.8274,0.0168870407500003,2.1745,rattle,Al2O3_Pna2_1_s29_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-4.289518699999986,4.8274,0.0168870407500003,1.7284000000000006,rattle,Al2O3_Pna2_1_s26_0,Pna2_1,,-2.8945619964631555
0,Al2O3,-0.37650875000004014,4.8274,0.0168870407500003,2.2112000000000007,rattle,Al2O3_Pna2_1_s23_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-8.932852650000042,4.8274,0.0168870407500003,1.8232999999999997,rattle,Al2O3_Pna2_1_s34_0,Pna2_1,5.3245677543906975,-2.8945619964631555
0,Al2O3,1.9812701999999707,4.8274,0.0168870407500003,2.3375999999999992,rattle,Al2O3_Pna2_1_s37_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-9.92164934,4.8274,0.0168870407500003,1.9299999999999995,rattle,Al2O3_Pna2_1_s21_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,3.728628989999992,4.8274,0.0168870407500003,1.3944,rattle,Al2O3_Pna2_1_s17_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-7.177536740000006,4.8274,0.0168870407500003,2.1894,rattle,Al2O3_Pna2_1_s22_0,Pna2_1,7.986851631586046,-2.8945619964631555
0,Al2O3,-8.19822942000003,4.8274,0.0168870407500003,2.9959,rattle,Al2O3_Pna2_1_s28_0,Pna2_1,7.986851631586046,-2.8945619964631555
