,formula,Ev,mp_Eg,mp_ehull,Eg,bulk_type,vacancy,space_group,Eb,Vr_max,PT_oxide
0,In2O3,4.147671070000046,0.7626999999999997,0.0495181169999998,1.4905999999999988,rattle,In2O3_Pbcn_s9_0,Pbcn,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,In2O3,4.018403510000256,0.7626999999999997,0.0495181169999998,1.6546999999999992,rattle,In2O3_Pbcn_s16_0,Pbcn,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,Ga2O3,5.251964159999874,2.4025,0.0297935599999963,2.2523,rattle,Ga2O3_R-3c_s4_0,R-3c,9.883090397527349,-1.8812876656363955,group_13_metal_oxides
0,In2O3,4.151322490000142,,,1.2653999999999996,higher_symmetry,In2O3_R-3c_s4_0,R-3c,7.4787590664084815,-1.5993795332042406,group_13_metal_oxides
0,Tl2O,2.4290741300002754,0.8411999999999997,0.0028308533333332,0.5395000000000003,rattle,Tl2O_C2__m_s5_0,C2__m,8.094978726806717,-0.8674893634033586,group_13_metal_oxides
0,Tl2O,2.430782560000056,0.8411999999999997,0.0028308533333332,0.5393999999999997,rattle,Tl2O_C2__m_s4_0,C2__m,8.094978726806717,-0.8674893634033586,group_13_metal_oxides
0,Al2O3,7.394547940000097,,,3.8391,higher_symmetry,Al2O3_C2__m_s8_0,C2__m,10.649135508781395,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,6.872574959999996,,,4.2277,higher_symmetry,Al2O3_C2__m_s6_0,C2__m,7.986851631586046,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.181404640000141,,,3.829099999999999,higher_symmetry,Al2O3_C2__m_s4_0,C2__m,7.986851631586046,-2.8945619964631555,group_13_metal_oxides
0,Ga2O3,4.878842150000013,2.0077999999999996,0.0,1.9365999999999992,rattle,Ga2O3_C2__m_s8_0,C2__m,7.412317798145512,-1.8812876656363955,group_13_metal_oxides
0,Ga2O3,5.132516459999964,2.0077999999999996,0.0,1.8141,rattle,Ga2O3_C2__m_s6_0,C2__m,9.883090397527349,-1.8812876656363955,group_13_metal_oxides
0,Ga2O3,4.365127879999976,2.0077999999999996,0.0,2.4068,rattle,Ga2O3_C2__m_s4_0,C2__m,7.412317798145512,-1.8812876656363955,group_13_metal_oxides
0,Al2O3,7.510934919999999,5.313199999999999,0.0933559135000008,4.314299999999999,rattle,Al2O3_Pbcn_s8_0,Pbcn,10.649135508781395,-2.8945619964631555,group_13_metal_oxides
0,Al2O3,7.315196410000043,5.313199999999999,0.0933559135000008,4.2193000000000005,rattle,Al2O3_Pbcn_s16_0,Pbcn,10.649135508781395,-2.8945619964631555,group_13_metal_oxides
