,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,merge_on,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,vr_max,Eb_sum
43,Al2PbO4,Al2PbO4_Va_O1,3.8921,-2.89378359,2.273300437305284,2.391473835296565,4.166058734340394,1,191,Al2PbO4_Va_O1191,-2.0,-2.099755903825975,-2.099755903825975,1.0498779519129875,-1.1369603723458594,7.402214831703272
46,Al2PbO4,Al2PbO4_Va_O1,3.8921,-2.89378359,2.273300437305284,2.391473835296565,1.5597349748155265,2,191,Al2PbO4_Va_O1191,-2.0,-2.099755903825975,-2.099755903825975,1.0498779519129875,-1.1369603723458594,7.402214831703272
49,Al2PbO4,Al2PbO4_Va_O2,3.8921,-2.89378359,2.2577006846753074,2.127479261236284,6.474721879999729,0,239,Al2PbO4_Va_O2239,-2.0,-1.655878386540262,-1.8942513501437075,0.827939193270131,-1.1369603723458594,4.4084183310823875
52,Al2PbO4,Al2PbO4_Va_O2,3.8921,-2.89378359,2.2577006846753074,2.127479261236284,4.512556241284181,1,239,Al2PbO4_Va_O2239,-2.0,-1.655878386540262,-1.8942513501437075,0.827939193270131,-1.1369603723458594,4.4084183310823875
55,Al2PbO4,Al2PbO4_Va_O2,3.8921,-2.89378359,2.2577006846753074,2.127479261236284,2.0772168677228207,2,239,Al2PbO4_Va_O2239,-2.0,-1.655878386540262,-1.8942513501437075,0.827939193270131,-1.1369603723458594,4.4084183310823875
58,Al2PbO4,Al2PbO4_Va_O3,3.8921,-2.89378359,2.271189956610316,2.3477590408505455,6.6248099899997985,0,335,Al2PbO4_Va_O3335,-2.0,-1.9700054099019704,-1.9700054099019708,0.9850027049509852,-1.1369603723458594,6.944808792841771
61,Al2PbO4,Al2PbO4_Va_O3,3.8921,-2.89378359,2.271189956610316,2.3477590408505455,4.48343107357856,1,335,Al2PbO4_Va_O3335,-2.0,-1.9700054099019704,-1.9700054099019708,0.9850027049509852,-1.1369603723458594,6.944808792841771
64,Al2PbO4,Al2PbO4_Va_O3,3.8921,-2.89378359,2.271189956610316,2.3477590408505455,1.6499347158008852,2,335,Al2PbO4_Va_O3335,-2.0,-1.9700054099019704,-1.9700054099019708,0.9850027049509852,-1.1369603723458594,6.944808792841771
67,Al4Bi2O9,Al4Bi2O9_Va_O1,2.6141999999999994,-2.857885394000002,2.3848563900027937,2.7629914986258335,5.484838260000183,0,191,Al4Bi2O9_Va_O1191,-2.0,-2.1664382566866527,-2.1664382566866527,1.0832191283433263,-0.9858147743813158,9.327503664322377
70,Al4Bi2O9,Al4Bi2O9_Va_O1,2.6141999999999994,-2.857885394000002,2.3848563900027937,2.7629914986258335,2.80081104690092,1,191,Al4Bi2O9_Va_O1191,-2.0,-2.1664382566866527,-2.1664382566866527,1.0832191283433263,-0.9858147743813158,9.327503664322377
73,Al4Bi2O9,Al4Bi2O9_Va_O1,2.6141999999999994,-2.857885394000002,2.3848563900027937,2.7629914986258335,0.0603303405355792,2,191,Al4Bi2O9_Va_O1191,-2.0,-2.1664382566866527,-2.1664382566866527,1.0832191283433263,-0.9858147743813158,9.327503664322377
76,Al4Bi2O9,Al4Bi2O9_Va_O2,2.6141999999999994,-2.857885394000002,2.2923045988216,2.525664865147771,7.171021660000301,0,239,Al4Bi2O9_Va_O2239,-2.0,-1.9651881306944037,-1.9804193466532292,0.9825940653472016,-0.9858147743813158,7.847833014005063
79,Al4Bi2O9,Al4Bi2O9_Va_O2,2.6141999999999994,-2.857885394000002,2.2923045988216,2.525664865147771,4.6620565240696425,1,239,Al4Bi2O9_Va_O2239,-2.0,-1.9651881306944037,-1.9804193466532292,0.9825940653472016,-0.9858147743813158,7.847833014005063
82,Al4Bi2O9,Al4Bi2O9_Va_O2,2.6141999999999994,-2.857885394000002,2.2923045988216,2.525664865147771,1.4546189421473312,2,239,Al4Bi2O9_Va_O2239,-2.0,-1.9651881306944037,-1.9804193466532292,0.9825940653472016,-0.9858147743813158,7.847833014005063
85,Al4Bi2O9,Al4Bi2O9_Va_O3,2.6141999999999994,-2.857885394000002,2.3575196255115665,2.820929043431028,5.552068420000419,0,359,Al4Bi2O9_Va_O3359,-2.0,-2.0314314649532057,-2.1312849919052357,1.0157157324766029,-0.9858147743813158,7.077242578662915
88,Al4Bi2O9,Al4Bi2O9_Va_O3,2.6141999999999994,-2.857885394000002,2.3575196255115665,2.820929043431028,3.295307986894666,1,359,Al4Bi2O9_Va_O3359,-2.0,-2.0314314649532057,-2.1312849919052357,1.0157157324766029,-0.9858147743813158,7.077242578662915
91,Al4Bi2O9,Al4Bi2O9_Va_O3,2.6141999999999994,-2.857885394000002,2.3575196255115665,2.820929043431028,0.6232325467040618,2,359,Al4Bi2O9_Va_O3359,-2.0,-2.0314314649532057,-2.1312849919052357,1.0157157324766029,-0.9858147743813158,7.077242578662915
94,Al4Bi2O9,Al4Bi2O9_Va_O4,2.6141999999999994,-2.857885394000002,2.177139080811319,2.1832794803488595,6.636335620000304,0,311,Al4Bi2O9_Va_O4311,-2.0,-1.7172876805731383,-1.7172876805731383,0.8586438402865693,-0.9858147743813158,4.5719073044960625
96,Al4Bi2O9,Al4Bi2O9_Va_O4,2.6141999999999994,-2.857885394000002,2.177139080811319,2.1832794803488595,4.812611687940505,1,311,Al4Bi2O9_Va_O4311,-2.0,-1.7172876805731383,-1.7172876805731383,0.8586438402865693,-0.9858147743813158,4.5719073044960625
98,AlAsO4,AlAsO4_Va_O1,4.3858,-2.444837554166667,2.6675,2.1081297060123902,3.7700192500000274,0,215,AlAsO4_Va_O1215,-2.0,-2.3551366618423257,-2.3551366618423257,1.1775683309211629,-0.6589084382122885,6.485928987602861
100,AlAsO4,AlAsO4_Va_O1,4.3858,-2.444837554166667,2.6675,2.1081297060123902,2.968579729127031,1,215,AlAsO4_Va_O1215,-2.0,-2.3551366618423257,-2.3551366618423257,1.1775683309211629,-0.6589084382122885,6.485928987602861
102,AlSbO4,AlSbO4_Va_O1,1.722599999999999,-2.5433669000000005,2.597103509660969,2.911445950223812,4.638389600000105,0,191,AlSbO4_Va_O1191,-2.0,-2.0739867661429185,-2.0739867661429185,1.0369933830714593,-0.5208045461292565,8.02259687472188
105,AlSbO4,AlSbO4_Va_O1,1.722599999999999,-2.5433669000000005,2.597103509660969,2.911445950223812,2.765454978441495,1,191,AlSbO4_Va_O1191,-2.0,-2.0739867661429185,-2.0739867661429185,1.0369933830714593,-0.5208045461292565,8.02259687472188
108,AlSbO4,AlSbO4_Va_O1,1.722599999999999,-2.5433669000000005,2.597103509660969,2.911445950223812,1.016020351947181,2,191,AlSbO4_Va_O1191,-2.0,-2.0739867661429185,-2.0739867661429185,1.0369933830714593,-0.5208045461292565,8.02259687472188
111,AlSbO4,AlSbO4_Va_O2,1.722599999999999,-2.5433669000000005,2.672896490339031,3.6551000107041887,4.367477630000062,0,159,AlSbO4_Va_O2159,-2.0,-2.443950890671754,-2.443950890671754,1.221975445335877,-0.5208045461292565,9.147648074749899
114,AlSbO4,AlSbO4_Va_O2,1.722599999999999,-2.5433669000000005,2.672896490339031,3.6551000107041887,2.222511203879378,1,159,AlSbO4_Va_O2159,-2.0,-2.443950890671754,-2.443950890671754,1.221975445335877,-0.5208045461292565,9.147648074749899
117,AlSbO4,AlSbO4_Va_O2,1.722599999999999,-2.5433669000000005,2.672896490339031,3.6551000107041887,0.2390589483753902,2,159,AlSbO4_Va_O2159,-2.0,-2.443950890671754,-2.443950890671754,1.221975445335877,-0.5208045461292565,9.147648074749899
120,As2O3,As2O3_Va_O1,3.3312,-1.6290845505,2.745736482564582,3.6517666474416854,3.803732819999718,0,287,As2O3_Va_O1287,-2.0,-2.021079496189694,-2.0764879117237003,1.010539748094847,-1.150088447140494,6.945955293940731
122,As2O3,As2O3_Va_O1,3.3312,-1.6290845505,2.745736482564582,3.6517666474416854,-0.9883017507957212,2,287,As2O3_Va_O1287,-2.0,-2.021079496189694,-2.0764879117237003,1.010539748094847,-1.150088447140494,6.945955293940731
124,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,3.756670709999875,0,383,As2O3_Va_O2383,-2.0,-2.0039443571298388,-2.042301455431169,1.0019721785649194,-1.150088447140494,6.8870660171509765
127,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,1.31408610750172,1,383,As2O3_Va_O2383,-2.0,-2.0039443571298388,-2.042301455431169,1.0019721785649194,-1.150088447140494,6.8870660171509765
130,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,-1.9412796043358855,2,383,As2O3_Va_O2383,-2.0,-2.0039443571298388,-2.042301455431169,1.0019721785649194,-1.150088447140494,6.8870660171509765
133,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,3.7697533399999745,0,479,As2O3_Va_O3479,-2.0,-2.042571910742372,-2.081966493383903,1.021285955371186,-1.150088447140494,7.019819459562711
136,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,1.4107231307089465,1,479,As2O3_Va_O3479,-2.0,-2.042571910742372,-2.081966493383903,1.021285955371186,-1.150088447140494,7.019819459562711
139,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,-1.1966327609093488,2,479,As2O3_Va_O3479,-2.0,-2.042571910742372,-2.081966493383903,1.021285955371186,-1.150088447140494,7.019819459562711
142,As2Pb3O8,As2Pb3O8_Va_O1,3.2885999999999997,-1.7352351134615382,2.6860742046445267,2.7630077039862124,2.7753270799997924,0,251,As2Pb3O8_Va_O1251,-2.0,-1.4681610785137362,-1.8749580104469092,0.7340805392568681,-0.6589084382122885,2.088911653413498
