,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,vac_rerun,E_vac_rerun,Unnamed: 20,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,site,group,poscar_name,E_vac_min,minimum
118,126,alkaline_earth_metal_oxides,BeO,P4_2__mnm,,,12.0,-65.09929915,,,,,,s4_0,30.0%,-766.77101073,5.6691,0.0117376287499997,7.0846,True,-767.31341883,,,-781.1915898,7.9476908999999285,5.6691,rattle,s4_0,BeO_P4_2__mnm_s4_0,alkaline_earth_metal_oxides_BeO_P4_2__mnm,-766.77101073,True
119,127,alkaline_earth_metal_oxides,BeO,P4_2__mnm,,,12.0,-65.09929915,,,,,,s4_0,30.0%,-766.77101073,5.6691,0.0117376287499997,7.0846,,,,,-781.1915898,8.490099000000031,5.6691,rattle,s4_0,BeO_P4_2__mnm_s4_0,alkaline_earth_metal_oxides_BeO_P4_2__mnm,-766.77101073,True
126,135,alkaline_earth_metal_oxides,CaO,Fm-3m,,,48.0,-19.45423252,,,,,,s1_0,50.0%,-920.38822229,1.0502000000000002,0.0,3.630100000000001,True,-920.52759726,,,-933.80316096,7.345083630000021,1.0502000000000002,rattle,s1_0,CaO_Fm-3m_s1_0,alkaline_earth_metal_oxides_CaO_Fm-3m,-920.38822229,True
127,136,alkaline_earth_metal_oxides,CaO,Fm-3m,,,48.0,-19.45423252,,,,,,s1_0,50.0%,-920.38822229,1.0502000000000002,0.0,3.630100000000001,,,,,-933.80316096,7.48445859999997,1.0502000000000002,rattle,s1_0,CaO_Fm-3m_s1_0,alkaline_earth_metal_oxides_CaO_Fm-3m,-920.38822229,True
151,161,alkaline_earth_metal_oxides,BaO,Fm-3m,,,64.0,-37.82774975,,,,,,s8_0,20.0%,-2409.253574,3.1624,0.0,2.0906,True,-2409.26891076,,,-2420.975984,5.776593170000227,3.1624,rattle,s8_0,BaO_Fm-3m_s8_0,alkaline_earth_metal_oxides_BaO_Fm-3m,-2409.253574,True
152,162,alkaline_earth_metal_oxides,BaO,Fm-3m,,,64.0,-37.82774975,,,,,,s8_0,20.0%,-2409.253574,3.1624,0.0,2.0906,,,,,-2420.975984,5.791929930000309,3.1624,rattle,s8_0,BaO_Fm-3m_s8_0,alkaline_earth_metal_oxides_BaO_Fm-3m,-2409.253574,True
156,167,alkaline_earth_metal_oxides,MgO,P-6m2,,,75.0,-16.12603299,,,,,,s1_0,-10.0%,-1195.99713643,3.1107999999999993,0.3374968550000004,3.0483,True,-1196.05158136,,,-1209.4524742499998,7.470412819999796,3.1107999999999993,rattle,s1_0,MgO_P-6m2_s1_0,alkaline_earth_metal_oxides_MgO_P-6m2,-1195.99713643,True
157,168,alkaline_earth_metal_oxides,MgO,P-6m2,,,75.0,-16.12603299,,,,,,s1_0,-10.0%,-1195.99713643,3.1107999999999993,0.3374968550000004,3.0483,,,,,-1209.4524742499998,7.524857749999841,3.1107999999999993,rattle,s1_0,MgO_P-6m2_s1_0,alkaline_earth_metal_oxides_MgO_P-6m2,-1195.99713643,True
169,181,alkaline_earth_metal_oxides,MgO,P6_3mc,,,32.0,-31.78000885,,,,,,s2_0,60.0%,-1004.3425914,2.1742999999999997,0.0741400825000004,3.3701,True,-1004.35996552,,,-1016.9602832,6.669837610000103,2.1742999999999997,rattle,s2_0,MgO_P6_3mc_s2_0,alkaline_earth_metal_oxides_MgO_P6_3mc,-1004.3425914,True
170,182,alkaline_earth_metal_oxides,MgO,P6_3mc,,,32.0,-31.78000885,,,,,,s2_0,60.0%,-1004.3425914,2.1742999999999997,0.0741400825000004,3.3701,,,,,-1016.9602832,6.687211730000103,2.1742999999999997,rattle,s2_0,MgO_P6_3mc_s2_0,alkaline_earth_metal_oxides_MgO_P6_3mc,-1004.3425914,True
187,200,alkali_metal_oxides,Li2O,Fm-3m,,,80.0,-16.83040483,,,,,,s2_0,-50.0%,-1333.10971181,2.7459,0.0,4.854,True,-1333.16065032,,,-1346.4323863999998,7.341256009999755,2.7459,rattle,s2_0,Li2O_Fm-3m_s2_0,alkali_metal_oxides_Li2O_Fm-3m,-1333.10971181,True
188,201,alkali_metal_oxides,Li2O,Fm-3m,,,80.0,-16.83040483,,,,,,s2_0,-50.0%,-1333.10971181,2.7459,0.0,4.854,,,,,-1346.4323863999998,7.392194519999906,2.7459,rattle,s2_0,Li2O_Fm-3m_s2_0,alkali_metal_oxides_Li2O_Fm-3m,-1333.10971181,True
196,210,alkali_metal_oxides,Rb2O,Fm-3m,,,18.0,-74.06387706,,,,,,s5_0,50.0%,-1322.84240311,0.9381999999999996,0.0031695866666665,1.3192,True,-1322.68573883,,,-1333.14978708,4.5335681799999055,0.9381999999999996,rattle,s5_0,Rb2O_Fm-3m_s5_0,alkali_metal_oxides_Rb2O_Fm-3m,-1322.84240311,True
197,211,alkali_metal_oxides,Rb2O,Fm-3m,,,18.0,-74.06387706,,,,,,s5_0,50.0%,-1322.84240311,0.9381999999999996,0.0031695866666665,1.3192,,,,,-1333.14978708,4.376903899999819,0.9381999999999996,rattle,s5_0,Rb2O_Fm-3m_s5_0,alkali_metal_oxides_Rb2O_Fm-3m,-1322.84240311,True
